director_id,movie_count,movie_ids
nm7207144,4557,"tt0278212,tt10222524,tt10227764,tt10227766,tt10227770,tt10227772,tt10227774,tt10227778,tt10227784,tt10227786,tt10227788,tt10227790,tt10227792,tt10227794,tt10227796,tt10227798,tt10227800,tt10227802,tt10227804,tt10227806"
nm13295635,4508,"tt17013904,tt17014026,tt17014034,tt17278512,tt17278516,tt17278518,tt17278520,tt17278522,tt17278524,tt17278526,tt17278528,tt17278532,tt17278534,tt17278536,tt17278538,tt17278540,tt17278542,tt17278546,tt17278548,tt17278554"
nm0475430,4475,"tt0115227,tt0146353,tt0235927,tt0266181,tt0377202,tt0617144,tt0617145,tt0617147,tt0686493,tt0769187,tt0888216,tt0932551,tt10901634,tt1222193,tt12349784,tt12355308,tt12355310,tt12355314,tt12355318,tt12355326"
nm0190421,4467,"tt10011876,tt10011884,tt10022022,tt10022038,tt10022040,tt10049128,tt10049130,tt10049132,tt10056308,tt10056310,tt10056332,tt10056342,tt10056368,tt10056408,tt10056466,tt10101298,tt10101300,tt10101304,tt10101308,tt10101310"
nm0617036,4460,"tt0128176,tt0375446,tt11356790,tt11361360,tt11361362,tt11361364,tt11361368,tt11361370,tt11361372,tt11361378,tt11361386,tt11361390,tt11361392,tt11361394,tt11361396,tt11361398,tt11361400,tt11361406,tt11361408,tt11361412"
nm8932411,4442,"tt0278212,tt10001594,tt10001596,tt10001598,tt10001600,tt10001602,tt10001606,tt10001608,tt10001610,tt10001612,tt10001616,tt10001618,tt10001620,tt10001622,tt10001624,tt10001626,tt10001630,tt10001632,tt10001634,tt10001636"
nm16329853,4418,"tt0401954,tt10332454,tt10337520,tt10349926,tt10364014,tt10370994,tt10373860,tt10379870,tt10383940,tt10384934,tt10399458,tt10402080,tt10407770,tt10407802,tt10407804,tt10407806,tt10407810,tt10407812,tt10407816,tt10407818"
nm4027968,4414,"tt10025090,tt10025094,tt10025096,tt10025100,tt10025102,tt10025104,tt10025106,tt10025112,tt10025116,tt10025118,tt10025120,tt10025122,tt10025124,tt10025126,tt10025128,tt10025360,tt10025362,tt10025366,tt10025370,tt10025374"
nm5974300,4413,"tt10050716,tt10241830,tt10266442,tt11468662,tt11472532,tt11472534,tt11472538,tt11472542,tt11472544,tt11472548,tt11472550,tt11472556,tt11472558,tt11472560,tt11472562,tt11472564,tt11472566,tt11472568,tt11472570,tt11472572"
nm0052486,4411,"tt0211855,tt0213360,tt0214342,tt0214379,tt0215388,tt0215395,tt0216516,tt0222600,tt0222631,tt0224881,tt0224882,tt0224950,tt0224971,tt0229893,tt0229923,tt0243054,tt0245608,tt0245650,tt0245660,tt0266113"
nm11412302,4400,"tt0414433,tt1068600,tt11945086,tt11956394,tt11956404,tt11956406,tt11956410,tt11956412,tt11956414,tt11956416,tt11956418,tt11956420,tt11956424,tt11956426,tt11956428,tt11956430,tt11956432,tt11956436,tt11956438,tt11956440"
nm16859137,4373,"tt10002940,tt10002962,tt10013446,tt10018552,tt10018556,tt10018600,tt10170916,tt10170920,tt10170926,tt10170944,tt10170946,tt10170948,tt10170952,tt10170954,tt10170960,tt10170964,tt10170966,tt10170968,tt10170970,tt10170972"
nm10025830,4361,"tt0389680,tt10002866,tt10002870,tt10002872,tt10002874,tt10002876,tt10002878,tt10002882,tt10002886,tt10002888,tt10002890,tt10002892,tt10002894,tt10002896,tt10002898,tt10002902,tt10002908,tt10002910,tt10002912,tt10002918"
nm0848222,4358,"tt0138222,tt0138246,tt0138270,tt0138278,tt0139759,tt0144724,tt0146371,tt0149419,tt0149521,tt0202747,tt0208627,tt0208640,tt0209587,tt0209659,tt0209723,tt0209731,tt0209782,tt0209788,tt0209804,tt0209834"
